ID1,ID2,SMILES1,SMILES2,SimilarityScore,Target1,Target2,abs_log10,threshold_1.5,mean
US_286,US_287,C[C@@H]1C[C@@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,C[C@H]1C[C@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,1,17.2,90.7,0.72207884,0,53.95
US_55,US_56,OC[C@H](O)COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,OC[C@@H](O)COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,1,6131.3,5916.7,0.015473017,0,6024
US_216,paper_25,Oc1cc(-c2ncc3c(nc(OCC45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@]56N(C[C@H](F)C6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,0.9,2,0.346787486,0,1.45
646_54,646_55,OC=1C=C(C2=CC=CC=C2C1)N1CC=2N=C(N=C(C2CC1)N1C[C@H]2C[C@H]([C@@H](C1)N2)O)OC[C@H]2N(CCC2)C,OC=1C=C(C2=CC=CC=C2C1)N1CC=2N=C(N=C(C2CC1)N1C[C@@H]2C[C@@H]([C@H](C1)N2)O)OC[C@H]2N(CCC2)C,1,41.1,774.8,1.27534779,0,407.95
US_326,US_327,Oc1cc(-c2ncc3c(nc(OC[C@]45CCCN4C[C@@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,Oc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,1,1.9,1.9,0,0,1.9
US_120,paper_18,CN(C)C1CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(N5CC(N(C)C)C5)N=C4N6C[C@@H](CC7)N[C@@H]7C6,1,28.8,69,0.379456603,0,48.9
646_93,646_94,ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@H]2C[C@H]([C@@H](C1)N2)COC)OC[C@H]2N(CCC2)C,ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@H]2C[C@@H]([C@@H](C1)N2)COC)OC[C@H]2N(CCC2)C,1,360.3,851.7,0.373622385,0,606
US_45,paper_28,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OCC23CCCN3CCC2)C(=C(N=C1)C1=CC=CC2=CC=CC(=C12)Cl)F,FC1=C(C2=C(C(Cl)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,5.5,15,0.43572857,0,10.25
US_26,paper_20,Oc1cc(-c2ncc3c(nc(OCCN4C[C@@H]5CC4CO5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCCN5[C@@H](C6)CO[C@@H]6C5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,42.1,62,0.168109594,0,52.05
625_14,paper_13,C12N(CC(NC1)CC2)C=2C1=C(N=C(N2)OC[C@H]2N(CCC2)C)C(=C(N=C1)C1=CC(=CC2=CC=CC=C12)O)F,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@H]5N(C)CCC5)N=C4N6CC7NCC6CC7,1,30.8,68,0.343958196,0,49.4
US_223,US_224,O[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,O[C@H]1CN2CCC[C@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,1,7.1,27,0.580105415,0,17.05
US_451,US_467,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C=1C=C(C=C(C1[C@@H]1[C@H](C1)C)Cl)O)F,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C=1C=C(C=C(C1[C@@H]1[C@@H](C1)C)Cl)O)F,1,1,2,0.301029996,0,1.5
646_6,646_7,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OCC23CCCN3CC(C2)F)CN(CC1)C1=CC(=CC2=CC=CC(=C12)CC)O,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)CN(CC1)C1=CC(=CC2=CC=CC(=C12)CC)O,1,0.8,1,0.096910013,0,0.9
US_186,paper_26,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1cccc2ccccc12,FC1=C(C2=C(C([H])=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,29.2,360,1.090919649,0,194.6
US_451,US_452,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C=1C=C(C=C(C1[C@@H]1[C@H](C1)C)Cl)O)F,C[C@@H]1C[C@H]1c1c(Cl)cc(O)cc1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,1,1,1,0,0,1
US_134,US_226,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,F[C@H]1CN2CCCC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)C1,1,3.7,25.9,0.84509804,0,14.8
US_460,paper_34,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OCC23CCCN3CCC2)C(=C(N=C1)C1=CC=CC2=CC=C(C=C12)F)F,FC1=C(C2=C(C=C(F)C=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,27,27,0,0,27
US_282,US_366,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C1=CC(=CC2=CC=CC(=C12)F)O)F,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OCC23CCCN3CC(C2)F)C(=C(N=C1)C1=CC(=CC2=CC=CC(=C12)F)O)F,1,0.7,0.5,0.146128036,0,0.6
646_121,646_122,C(C)C2=C1C(=CC=CC1=CC=C2)N8CC3=C(C(=NC(=N3)OC[C@@]45CCCN4C[C@@H](C5)F)[C@@H]6C[C@@H]7CC[C@H](C6)N7)CC8,C(C)C2=C1C(=CC=CC1=CC=C2)N8CC3=C(C(=NC(=N3)OC[C@@]45CCCN4C[C@@H](C5)F)[C@@H]6C[C@@H]7CC[C@H](C6)N7)CC8,1,8.7,234.2,1.430067638,0,121.45
US_461,paper_20,[C@@H]12OC[C@@H](N(C1)CCOC=1N=C(C3=C(N1)C(=C(N=C3)C3=CC(=CC1=CC=CC=C31)O)F)N3C[C@H]1CC[C@@H](C3)N1)C2,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCCN5[C@@H](C6)CO[C@@H]6C5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,62,62,0,0,62
US_462,paper_23,C12CN(CC(CC1)N2)C=2C1=C(N=C(N2)OCC23CCCN3C(CC2)=O)C(=C(N=C1)C1=CC(=CC2=CC=CC=C12)O)F,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCC56N(CCC6)C(CC5)=O)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,751,750,0.000578674,0,750.5
31678_11,31678_32,CN(C1(CCC1)CNC=1C2=C(N=C(N1)OC[C@H]1N(CCC1)C)C(=C(N=C2)C2=CC(=CC1=CC=CC=C21)O)F)C,CN(C1(CCC1)CNC=1C2=C(N=C(N1)OC[C@@H]1N(CCC1)C)C(=C(N=C2)C2=CC(=CC1=CC=CC=C21)O)F)C,1,98,381.1,0.589812873,0,239.55
US_252,US_482,Oc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2c(C#C)c(F)ccc2c1,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@@]23CCCN3C[C@H](C2)F)C(=C(N=C1)C1=CC(=CC2=CC=C(C(=C12)C#C)F)O)F,1,0.4,2,0.698970004,0,1.2
US_463,paper_22,C12CN(CC(CC1)N2)C=2C1=C(N=C(N2)OCC23CCCCN3CCC2)C(=C(N=C1)C1=CC(=CC2=CC=CC=C12)O)F,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OCC5(CCCC6)N6CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,12,12,0,0,12
US_252,paper_1,Oc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2c(C#C)c(F)ccc2c1,FC1=C(C2=C(C(C#C)=C(F)C=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@]56N(C[C@H](F)C6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,0.4,2,0.698970004,0,1.2
US_368,US_448,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OCC23CCCN3CC(C2)F)C(=C(N=C1)C1=C(C=CC=C1)C1CC1)F,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C1=C(C=CC=C1)C1CC1)F,1,207.6,130,0.203283997,0,168.8
646_95,646_96,ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@@H]2C[C@H]([C@H](C1)N2)O)OC[C@H]2N(CCC2)C,ClC=1C=CC=C2C=CC=C(C12)N1CC=2N=C(N=C(C2CC1)N1C[C@H]2C[C@@H]([C@@H](C1)N2)O)OC[C@H]2N(CCC2)C,1,50.6,331.2,0.815939811,0,190.9
US_136,US_137,Fc1c(ncc2c(nc(OC[C@@H]3CCCO3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,Fc1c(ncc2c(nc(OC[C@H]3CCCO3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,1,5150.6,2633.4,0.291340992,0,3892
US_286,US_288,C[C@@H]1C[C@@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,C[C@@H]1C[C@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,1,17.2,589.5,1.534955363,1,
646_4,646_55,OC=1C=C(C2=CC=CC=C2C1)N1CC=2N=C(N=C(C2CC1)N1CC2CC(C(C1)N2)O)OC[C@H]2N(CCC2)C,OC=1C=C(C2=CC=CC=C2C1)N1CC=2N=C(N=C(C2CC1)N1C[C@@H]2C[C@@H]([C@H](C1)N2)O)OC[C@H]2N(CCC2)C,1,3.7,774.8,2.320987888,1,
US_238,paper_32,OCc1cccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,FC1=C(C2=C(C(CO)=CC=C3)C3=CC=C2)N=CC4=C1N=C(OCC56N(CCC6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,16.1,79,0.690801215,0,47.55
US_288,US_289,C[C@@H]1C[C@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,C[C@H]1C[C@@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,1,589.5,218.4,0.431231175,0,403.95
US_287,US_289,C[C@H]1C[C@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,C[C@H]1C[C@@H]1c1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,1,90.7,218.4,0.381645347,0,154.55
US_327,paper_25,Oc1cc(-c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,FC1=C(C2=C(C=CC=C3)C3=CC(O)=C2)N=CC4=C1N=C(OC[C@]56N(C[C@H](F)C6)CCC5)N=C4N7C[C@@H](CC8)N[C@@H]8C7,1,1.9,2,0.022276395,0,1.95
